Sample Barcode,Sample Label,Freezer Name,Rack Name,Box Name,Filter Type (Conditional)
eLP_E01_22w_0020,eLP_E01_22w_0020,Maine-eDNA (Hitchner),Supor_Rack_2,Supor_1/27/23,Supor
eLP_E01_22w_0024,eLP_E01_22w_0024,Kinnison lab (Murray),Additional Penobscot Index Filters + 4 Boxes from Machias,Supor_1-27-23,Supor
eLP_E01_22w_0025,eLP_E01_22w_0025,Kinnison lab (Murray),Additional Penobscot Index Filters + 4 Boxes from Machias,Supor_1-27-23,Supor
eLP_E01_22w_0045,eLP_E01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_3/27/23,Supor
eLP_E01_22w_0047,eLP_E01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_3/27/23,Supor
eLP_E01_22w_0050,eLP_E01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_3/27/23,Supor
eLP_E01_22w_0051,eLP_E01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_3/27/23,Supor
eLP_E01_22w_0053,eLP_E01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_3/27/23,Supor
eLP_E01_22w_0054,eLP_E01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_3/27/23,Supor
eLP_E01_22w_0060,eLP_E01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_3/27/23,Supor
eLP_E01_22w_0062,eLP_E01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_3/27/23,Supor
eLP_E01_22w_0065,eLP_E01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_3/27/23,Supor
eLP_E01_22w_0066,eLP_E01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_3/27/23,Supor
eLP_E01_22w_0069,eLP_E01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_3/27/23,Supor
eLP_E01_22w_0070,eLP_E01,Maine-eDNA (Hitchner),Supor_Rack_1,Supor_3/27/23,Supor
eLP_E01_23w_0004,,Maine-eDNA (Hitchner),Supor_Rack_3,Supor_4/17/23,Supor
eLP_E01_23w_0006,,Maine-eDNA (Hitchner),Supor_Rack_3,Supor_4/17/23,Supor
eLP_E01_23w_0009,,Maine-eDNA (Hitchner),Supor_Rack_3,Supor_4/17/23,Supor
eLP_E04_21w_0002,eLP_E04_21w_0002,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/6/23,Supor
eLP_E04_21w_0005,eLP_E04_21w_0005,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/6/23,Supor
